Ticker,Sector,Score,Ret_12m,Ret_6m,RS_SPY,Vol_Ratio,Drawdown,Price,Rank
LNT,Utilities,0.3874063488478149,0.09148018250812773,0.09720588653487039,-0.058147690132114516,0.9228005934217511,-0.05930621382160284,65.3499984741211,97.0
CVS,Health Care,0.3864409440690588,0.3456034630144764,0.22435080396917817,0.06899722730219326,0.998989361094077,-0.07362037500904517,76.37999725341797,98.0
AEE,Utilities,0.38510979722164335,0.12020508829315757,0.05528360512076813,-0.10006997154621677,1.0727492124081601,-0.06078981128959582,99.88500213623047,99.0
ADI,Information Technology,0.3847748850275832,0.2964278913378582,0.2753985191317925,0.12004494246480757,0.9390319404800681,0.0,282.3533935546875,100.0
SYF,Financials,0.3818187155215358,0.21773089698038062,0.36796812504685383,0.21261454837986893,0.7125647602195548,-0.0008706429539269145,80.33000183105469,101.0
XEL,Utilities,0.3806287168347645,0.12503891436796177,0.14674959907464924,-0.008603977592335665,0.9329938693182552,-0.05845820260720691,77.30999755859375,102.0
AXP,Financials,0.3785326825944432,0.24893695488498402,0.24040637273244436,0.08505279606545946,0.7631987226481467,0.0,373.2950134277344,103.0
O,Real Estate,0.37724192587867444,0.10667521270788738,0.07607132107083747,-0.07928225559614743,0.8051555834348393,-0.0245051081969474,58.599998474121094,104.0
CRWD,Information Technology,0.37616303230919396,0.49931412846526446,0.12014046125513311,-0.03521311541185179,1.3560674932224077,-0.05891168190474605,524.6849975585938,105.0
LLY,Health Care,0.37582056019784915,0.2553474004306815,0.3212060237691914,0.16585244710220648,0.7397246976220754,-0.08693031321637701,1013.4525146484375,106.0
PWR,Industrials,0.37545893158555055,0.35632470043382436,0.27432643366823184,0.11897285700124693,0.7078365229036386,-0.009970335822022336,460.2449951171875,107.0
KEYS,Information Technology,0.3704319241337657,0.23081872058890718,0.2995986735829794,0.14424509691599452,0.7131972001820494,0.0,210.47000122070312,108.0
ALLE,Industrials,0.3677418925933979,0.16149676207264263,0.16382044719256816,0.008466870525583259,0.8776639594446108,-0.10096392151301348,161.35000610351562,109.0
MCD,Consumer Discretionary,0.36769092224188393,0.07506432247225647,0.01839421443221667,-0.13695936223476823,1.1089727998945136,-0.0040746318361187805,309.3900146484375,110.0
HAS,Consumer Discretionary,0.3670116181701024,0.30911991192572463,0.26245742535337047,0.10710384868638556,0.6317900489172384,-0.005562934706630496,82.2300033569336,111.0
CBOE,Financials,0.365984656976639,0.19502369117877216,0.13216530710814145,-0.023188269558843455,0.7119810905959415,-0.03396197655827049,252.02000427246094,112.0
